SL,Text,Category,Polarity
279,"আমি এই জায়গায় জন্য খুব উচ্চ প্রত্যাশা ছিলাম,একটি বিশেষ অনুষ্ঠানের জন্য আগাম কয়েক মাসের জন্য কটি রিজার্ভেশন করা ছিল।",anecdotes/miscellaneous,neutral
280,"একটি নরম fluffy অভ্যন্তর ছিল,তারা উষ্ণ পরিবেশিত ছিল ।",food,positive
281, স্বীকৃতি পেতে আমাদের টেবিলের কাছে এসেছিলো টাট্টুর বাইরে পুড়িয়ে ফেলা হয়েছিল।,food,negative
282,"আমার প্যাড থাই ছিল, এবং নুডলস স্টিকি ছিল।",food,negative
283,"আমি এটি কয়েক বার বিতরণ করেছি,তাই আমি সত্যিই এটা সঠিক না ভেবে",anecdotes/miscellaneous,neutral
284,"অফারগুলি আপনার অর্থের জন্য সবচেয়ে ভাল মানগুলির একটি,নতুন 5 তম এভিনিউ রেস্তোরাঁগুলির মধ্যে।",price,positive
285," কোন তুলনা আছে,স্পষ্টভাবে, যখন আপনি তুলনা আপনি লাঞ্চ, বনাম McDs বা শহরের অন্যান্য স্যান্ডউইচ দোকান জন্য এখানে থাকতে পারে কি।",food,positive
286,অভিভাবকত্ব অভদ্র  হওয়ার অযৌক্তিক বিন্দু।,service,negative
287,"রাস্তায় মাথা তাদের সাক বার বার হবে,যদি আপনি Haru এর মহান খাদ্য চান, বিশেষ করে হাউস রোল জন্য ক্ষুধা করছেন, কিন্তু অপেক্ষা বিল্ডিং outisde দাঁড়ানো যাবে না, ",food,positive
288,"রাস্তায় মাথা তাদের সাক বার বার হবে,যদি আপনি Haru এর মহান খাদ্য চান, বিশেষ করে হাউস রোল জন্য ক্ষুধা করছেন, কিন্তু অপেক্ষা বিল্ডিং outisde দাঁড়ানো যাবে না, ",service,negative
289,"একটি সংকীর্ণ করিডোরটি একটি ছোট্ট স্থান বাড়ে যেখানে তিনটি ক্ষুদ্র সাদা টাইল্ড কাউন্টার রয়েছে, প্রচুর পরিমাণে জালিয়াতি (বোতল, কাঁধের ডাল) এবং 12-14 এনট্র্রিটের একটি ছোট কভার থাকে।",ambience,negative
290,খাবারটা ভালো,food,positive
291,আপনার পছন্দসই 'doneness' থেকে সঠিকভাবে রান্না করা সুকপাঠাকি স্ট্যাকগুলি গোলাপী রাস্তা খুন মত চেহারা না যে স্যালাড এবং পক্ষ দ্বারা দ্পরিবেশন করা হয়।,food,positive
292,স্ল্যাভের সাথে এবং লাঞ্চ আটার আসে কোন অতিরিক্ত চার্জ নেই ।,price,positive
293,যুক্তিসঙ্গত দামে সন্তুষ্ট মদ।,food,positive
294,যুক্তিসঙ্গত দামে সন্তুষ্ট মদ।,price,positive
295,সব অধিকার সুবিধাজনকভাবে বিতরণ করতে হবে।,service,positive
296,এমনকি ওয়াইন ভাল ছিল কাচ দ্বারা ।,food,positive
297,চমৎকার মালিকানাধীন ঐতিহ্যগত রেস্তোরাঁ পরিবার।,anecdotes/miscellaneous,positive
298,এই  দামে ভবনের ভাল ছাদ  জল ক্লাবের জন্য জলের চেষ্টা করবে,anecdotes/miscellaneous,neutral
299,এই  দামে ভবনের ভাল ছাদ  জল ক্লাবের জন্য জলের চেষ্টা করবে,price,negative
300,এই থালাটি আমার প্রিয় আমি যেখানেই ক্লান্ত হয়ে যাই এটি সবসময় আমার প্রয়োজন হয়।     এই থালাটি আমার প্রিয় আমি যেখানেই ক্লান্ত হয়ে যাই এটি সবসময় আমার প্রয়োজন।,food,positive
301,"আমার আদেশ  Mojito পরিবর্তন করো , যা এই বিশ্বের আউট ছি",food,positive
302,সার্ভিস ঠিক আছে ,service,neutral
303,খাদ্য (যা অসাধারণ) চেয়েও সেবা হল বিস্ময়কর জিনিস,food,positive
304,খাদ্য (যা অসাধারণ) চেয়েও সেবা হল বিস্ময়কর জিনিস,service,positive
305,আমরা খুব আশ্চর্যভাবে বিস্মিত ছিলাম।,anecdotes/miscellaneous,positive
306,অ্যাট্রাকিয়াস থাকার কারনে খাবারটি ভয়াবহ ছিল।,food,negative
307,আমি এই রেস্তোরাঁয়  কখনোআ দেখা করব না।,anecdotes/miscellaneous,negative
308,উডনের জন্য পানি ও স্যুপ সয়া সস ছিল।,food,negative
309," বিশেষত কুলারি,  ভরাট পাস্তা মুন্স ও এন্টি পেটা চমৎকার ছিল।",food,positive
310,ওয়েট্রেস ওয়াইনের চশমাটি  খুব ভালভাবে খাদ্যে ও চলাচলের পরামর্শ দিয়েছে,food,positive
311,ওয়েট্রেস ওয়াইনের চশমাটি  খুব ভালভাবে খাদ্যে ও চলাচলের পরামর্শ দিয়েছে,service,positive
312,"(আমার ক্ষেত্রে,বা বোন, !)।",anecdotes/miscellaneous,neutral
313,আমি অনেক ভারতীয়  রেস্টুরেন্টে খাবার খয়েছি।,anecdotes/miscellaneous,neutral
314,"আমি তোমাকে ভালোবাসি, যখন তারা তাদের খাদ্যের  অর্ডার আপনার দিতে বলেছে  তারা বললো  পাল্টা সব ব্যবসা হতে পারে। আমি তোমাকে ভালোবাসি, যখন তারা তাদের খাদ্যের  অর্ডার আপনার দিতে বলেছে  তারা বললো  পাল্টা সব ব্যবসা হতে পারে।",food,positive
315,"আমি তোমাকে ভালোবাসি, যখন তারা তাদের খাদ্যের  অর্ডার আপনার দিতে বলেছে  তারা বললো  পাল্টা সব ব্যবসা হতে পারে। আমি তোমাকে ভালোবাসি, যখন তারা তাদের খাদ্যের  অর্ডার আপনার দিতে বলেছে  তারা বললো  পাল্টা সব ব্যবসা হতে পারে।",service,negative
316,"আমরা সুশির বিষয়ে খুব সুখী ছিলাম এবং উভয়ই উভয়ই দয়া করে অন্তর্ভুক্ত ছিলো: ceviche মিশ্রণ (বিশেষ), কর্ণা ডাম্পলিংস, মিশ্রিত শশীমী, সুসি এবং রোলস, দুটি প্রকারের খাবার, এবং কলা tempura।",food,positive
317,তাজা রসুন বা বেগুন সঙ্গে প্লেইন পিজা তৈরি করার চেষ্টা করুন,food,positive
318, যান না সেখানে,anecdotes/miscellaneous,negative
319,"ঠিক আছে, তাই সার্ভারগুলি একটু ঘনিষ্ঠভাবে ঘুরে বেড়াচ্ছে, তবে ভিড়ের জন্য যথেষ্ট সার্ভারের চেয়ে বেশি কিছু আছে - এটি ঠিক আছে, আপনাকে তাদের মনোযোগ পেতে একটি ছোট প্রচেষ্টা করতে হবে।",service,conflict
320,একটি সারণি পেয়ে সৌভাগ্য কামনা করছি।,anecdotes/miscellaneous,negative
321,"আমরা এলোমেলোভাবে এটি কেড়ে নিলাম, কেউ  সুপারিশ না করলে,  আমরা কি আশা করতে পারি না।   আমরা এলোমেলোভাবে এটি কেড়ে নিলাম, কেউ  সুপারিশ না করলে,  আমরা কি আশা করতে পারি না।",anecdotes/miscellaneous,neutral
322,তোমার নাক আমার মতো  দেখি না ...,anecdotes/miscellaneous,negative
323,থাই মহান প্ল্যানেট ,anecdotes/miscellaneous,positive
324,ভয়াবহ সেবা,service,negative
325,শুধুই এটা করবেন না,anecdotes/miscellaneous,negative
326,"উপেক্ষা করুন,শুধু ট্রেন্ডি wannabes এর জন্য",anecdotes/miscellaneous,negative
327,"আমি অপেক্ষা করতে পারবো না,একটি চোখে চোখে  রাখো Takeout মেনুটি ইতালিয়ান খাবারের প্রস্তাবিত একটি মেনু।",food,positive
328,"এটি মহান হবে,আমার বিশ্বাস,  এবং এটি সব সময় নিখোঁজ করা হবে।",food,positive
329,জি আমার বন্ধু এবং আমি এই খাবার খেয়েছি আবার শেষ রাতে।,anecdotes/miscellaneous,neutral
330,আমি প্রতিদিন যাব-আমি আশা করি তারা আমার অফিসের কাছাকাছি একজন হবে।,anecdotes/miscellaneous,positive
331,অবশেষে!,anecdotes/miscellaneous,positive
332," আমি গত দুই বছর ধরে NYCতে অভিজ্ঞতার সহিত আছি,অর্থের জন্য আমার অ্যামা মান  খারাপ  আছে।",price,negative
333,"সেখানে আমার বন্ধু আমাকে নিয়ে গিয়েছিলেন  কিন্তু,থাই খাবারেরজন্য আমি সবচেয়ে অভিজ্ঞ ব্যক্তি নই।",anecdotes/miscellaneous,neutral
334,এটি এত বেশি  অকথিত নয় আমি মনে করি এটি একটি চমত্কার স্পট ভাল।,price,negative
335,আপনার নাম নিয়ে আগে আপনাকে পাঁচ মিনিট বলবে যদি দু-জন লোক বা দুই শত লোক  আপনার হোস্টেলে থাকে।,service,positive
336,যদিও পিজাটি ভাল ।,food,positive
337,ভাল এবং মদের বোতল সস্তা ।,price,positive
338,ভাল এবং মদের বোতল সস্তা ।,food,positive
339,আপনি সবকিছুতে হতাস হবেন না।,anecdotes/miscellaneous,positive
340,ঝুঁকিপূর্ণ হাঁটাহাঁটিও,anecdotes/miscellaneous,negative
341,"আমার স্বামী খুব খুশি হয়েছে এবং খাদ্য সুস্বাদু ছিল যাতে তার অতিথি প্রদান করার জন্য 100 ভিন্ন বিয়ার আছে, আমি একটি ডিশ সুপারিশ করতে পারি যদি এটি pumkin tortelini হতে হবে।",food,positive
342,"তারা আমদের এটি জন্য জিজ্ঞাসা না করা পর্যন্ত,এটি আমাদের ডিনার বিশেষ দিন না।",service,negative
343,এই বিশ্বের বাইরে এবং ডোশারের জন্য চকলেট রুটি পুডিং যা আপনার কাছে অবশ্যই কাঁকড়া লাসাগানা থাকতে হবে।,food,positive
344,"আমার পরামর্শ, আপনি  পাস্তা খাবারের জন্য রুম সংরক্ষণ করুন, তিরামিসু  না পাওয়া হওয়া পর্যন্ত ছেড়ে দিবেন না,।",food,positive
345,খুব ভাল দাম এবং খুব ভাল সেবা।,service,positive
346,খুব ভাল দাম এবং খুব ভাল সেবা।,price,positive
347,"কটি আশ্চর্যজনক সময় ছিল,আমি সম্প্রতি লাঞ্চের জন্য কিছু সহকর্মীদের সঙ্গে এই রেস্তোরাঁয় গিয়েছিলাম।",anecdotes/miscellaneous,positive
348,"এই পরিষেবাটি নিখুঁত এবং অবাস্তব ছিল - কর্মীরা জানে যে তাদের কি করতে হয় - তাদের মেনু জেনে আপনার প্রয়োজনগুলিতে যোগ দিন, আপনার খাবারটি উপস্থাপন করুন",service,positive
349,এসএ-এ-বাগেল (স্টি-শহর বা মিড -town দ্বারা) এখন পর্যন্ত এনওয়াইতে সেরা ব্যাগেল।,food,positive
350,আমাদের খুব  ভাল খাবার  ছিল!,food,positive
351,দেরী খুলুন (ভাল হিসাবে আমি একটি রাতে এই ব্যক্তিকে সেখানে পেয়েছিলাম ),anecdotes/miscellaneous,positive
352,"যদিও, সার্ভার রাজস্ব ড্রাইভিং প্রশিক্ষণ বলে মনে হয় যে সত্য,তবুও সবচেয়ে বিরক্তিকর জিনিস।",service,negative
353,বেঞ্চ খুঁজে কটি প্লেটে আপনার খাদ্য নিয়ে ঘুরে বসুন,anecdotes/miscellaneous,positive
354,টেন্ডার টুকরা করার ফাইলটি Mignon করার চেষ্টা করুন।,food,positive
355,"আমরা ছিলাম সবকিছু ভালই ছিল, কিন্তু আমরা শুধুমাত্র সেখানে একবারই ছিলাম।",food,positive
356,"আমরা যখন সন্ধ্যায় নামলাম তখন আমরা বারে বসে ছিলাম, কিন্তু যখন আমরা পিছন ফিরে দাঁড়ালাম তখন বার থেকে মুখ ফিরিয়ে নেয়ার সময়, $ 2 জন আমাদের কাছে চলে আসেন",anecdotes/miscellaneous,negative
357,তাদের ছুটির সম্পর্কে কিছু  ব্যস্ত পার্টি  হচ্ছে ।,anecdotes/miscellaneous,negative
358,মেইন মেনু উপেক্ষা করা উচিত নয়!,food,positive
359,আমি অত্যন্ত সুপারিশ করবো।,anecdotes/miscellaneous,positive
360,এই জায়গাটি মহান।,anecdotes/miscellaneous,positive
361,আশ্চর্যজনক পানীয় আধা-ঘন্টা 8pm পর্যন্ত বন্ধ  ,food,positive
362,আশ্চর্যজনক পানীয় আধা-ঘন্টা 8pm পর্যন্ত বন্ধ ,price,positive
363,তারা যে ভাল করছে-আমি ফিরে নোয়া trang যাও আক্ষরিক গরুর মাংস cubes জন্য একটি শত বার হয়েছে।,food,positive
364,"সত্যিই একটি চমৎকার খুঁজে পাওয়া যায় নি, থিয়েটার জেলায় অনেক গরীব অভিজ্ঞবান মানুষ।",anecdotes/miscellaneous,positive
365,এটি এক ব্রুকলিনের সর্বাধিক উৎকৃষ্ট রেস্তোরাঁ,anecdotes/miscellaneous,negative
366,"ওয়াইন নির্বাচন, ambiance সেবা সব অসামান্য এবং স্বীকৃতি প্রাপ্য।",food,positive
367,"ওয়াইন নির্বাচন, ambiance সেবা সব অসামান্য এবং স্বীকৃতি প্রাপ্য।",service,positive
368,"ওয়াইন নির্বাচন, ambiance সেবা সব অসামান্য এবং স্বীকৃতি প্রাপ্য।",ambience,positive
369,"গত রাতে ২ বছরের বার্ষিকী চলছিল, কাগজ গুলি ছাপানো ছিল না।",anecdotes/miscellaneous,negative
370,"এটা বরং তাদের দেরী ছিল,একটি ঘন্টা ধরে বসে থাকতে",service,negative
371,"আমরা অবিলম্বে বসা ছিলাম, যেমনটা আমরা রিজার্ভেশন ছিলাম, তবে পরের সেবা ধীরে ধীরে ছিল",service,conflict
372,"এটি এনওয়াইসি এর মাঝখানে একটি সুস্বাদু রেস্টুরেন্ট ছিল,প্রথমে আমি একটু সন্দিহান ছিলাম।",anecdotes/miscellaneous,neutral
373,"এখানকার ওয়েটার বন্ধুত্বপূর্ণ,এখানে সত্যিই সত্যিই ভাল সেবা হয়।",service,positive
374,Suan একটি সুপারিশ করেছিল যে আমি আনন্দিত ও আমরা heeded।,anecdotes/miscellaneous,positive
375,"ডেজার্ট সহ খাবারটি বেশ ভালো ছিল, তবে একটু বেশি মজাদার এবং অংশটি খুব ছোট ছিল ।",food,conflict
376,আমরা মাসে অন্তত একবার পরিদর্শন করি।,anecdotes/miscellaneous,neutral
377,"কোনও ট্র্যাফিক শব্দ নেই,এটি ছোট রাস্তাটি থেকে দূরে অবস্থিত।",ambience,positive
378,"এছাড়াও, এই জায়গাটি পরিবারের সাথে জনপ্রিয়, তাই যদি আপনি বন্য পশুর মতো ছড়িয়ে পড়া শিশুদের দ্বারা বিরক্ত হন, তাহলে রাতের পর থেকে তাদের এড়িয়ে চলুন।",ambience,neutral
379,আমি এইটা ছোট রাখবো।,anecdotes/miscellaneous,neutral
380,আমি অনুভব করলাম যে আমি প্যারিসে খাচ্ছি।,ambience,positive
381,"সাংহাইতে আমার জীবনের বেশিরভাগ সময়ই ছিল, এবং ভাবা হয়েছিল যে এই খাবারটি গ্রীন বো রেস্তোরাঁর মতই তুলনীয় ছিল",anecdotes/miscellaneous,neutral
382,"সাংহাইতে আমার জীবনের বেশিরভাগ সময়ই ছিল, এবং ভাবা হয়েছিল যে এই খাবারটি গ্রীন বো রেস্তোরাঁর মতই তুলনীয় ছিল",food,positive
383,"আমি সুপারিশ করছিলাম তাদের  অত্যন্ত খাদ্য, পরিবেশ এবং বিস্ময়কর ক্যাফ সেন্ট বার্ট সেবার জন্য  ।",food,positive
384,"আমি সুপারিশ করছিলাম তাদের  অত্যন্ত খাদ্য, পরিবেশ এবং বিস্ময়কর ক্যাফ সেন্ট বার্ট সেবার জন্য  ।",service,positive
385,"আমি সুপারিশ করছিলাম তাদের  অত্যন্ত খাদ্য, পরিবেশ এবং বিস্ময়কর ক্যাফ সেন্ট বার্ট সেবার জন্য  ।",ambience,positive
386,"তবে, এটি একটি বিশেষ ভ্রমণের মূল্য নয়।",anecdotes/miscellaneous,negative
387,চমৎকার মান,price,positive
388,গিগিনো খুব উপভোগ্য ওয়াগনার পার্কের ।,anecdotes/miscellaneous,positive
389,এটা খুব গুরুত্বপূর্ণ এবং দ্রুত ছিল।,service,positive
390,"একটি ভাল জায়গা খুঁজছেন,এটি একটি চমৎকার রেস্টুরেন্ট যেখানে আপনি আপনার ব্যবসা সহযোগীদের সঙ্গে একটি ঘনিষ্ঠ ডিনার মিটিং হোস্ট করতে পারেন।",anecdotes/miscellaneous,positive
391,"সমস্ত তরুণ NYU ছাত্ররা এই জায়গাটি ভালোবাসে, যাতে এটি একটি মজার  বায়ুমণ্ডল তৈরি করে তোলে।",ambience,positive
392,"(ক্যান্টোনিজ যে ...),এখানে খাদ্য নামের একটি মহান সেবা আছে।",food,positive
393," কিছু কিন্তু,  রান্না করার বাইরে দাঁড়িয়ে আছে ",food,neutral
394,আনন্দদায়ক না হলেও - আনন্দময় খাবার এবং একটি রঙিন রঙের আনন্দময় পরিবেশে ব্যবহৃত হয় - বায়ুমণ্ডল।,ambience,positive
395,আনন্দদায়ক না হলে - আনন্দময় খাবার এবং একটি রঙিন রঙের আনন্দময় পরিবেশে ব্যবহৃত হয় - বায়ুমণ্ডল।,food,positive
396,"ম্যাকডোনাল্ডে যান এবং আপনার ভিতরে প্রবেশ করুন,যদি এটি একটি সমস্যা মনে হয়",anecdotes/miscellaneous,negative
397,প্রিক্স ফিক্স মেনুটি প্রতি পণের মূল্যের জন্য যথেষ্ট (উভয় পরিমাণ এবং মানের মধ্যে) যা আপনি বেশি  পেতে পারেন ।,food,positive
398,প্রিক্স ফিক্স মেনুটি প্রতি পণের মূল্যের জন্য যথেষ্ট (উভয় পরিমাণ এবং মানের মধ্যে) যা আপনি বেশি  পেতে পারেন ।,price,positive
399,"এটি শহর আমার প্রিয়তম,আমি দুপুরের খাবারের জন্য এখানে তিনবার এসেছি",anecdotes/miscellaneous,positive
400,"আমি ব্র্যাঞ্চের জন্য তাদের ডিম বেনেডিক্ট করতাম, যা আমার সমগ্র জীবনে সবচেয়ে খারাপ ছিল, আমি হোলান্দিজ সসকে সম্পূর্ণভাবে মুছে ফেলার চেষ্টা করেছিলাম যা এটি আমার ছিল ব্যর্থতা।",food,negative
401,"এটি প্যাকেজ বা দ্রুত-রান্না আইটেম না,এর আশেপাশের সেরা oatmeal আছে, আমি  এর প্রায় কাছাকাছি কাজ করি।",food,positive
402,দ্রুত চলমান কিন্তু সবসময় ব্যস্ত।,ambience,conflict
403,একই ঐতিহ্যের খুব খারাপ খাদ্য  নয়।,food,negative
404,"বিশেষ অফার দেয় না,মেনু ভাল দেখায়, চিলির সমুদ্র ব্যাশ অফার ছাড়া, কিন্তু সার্ভার বাইরে বোর্ডে লিখিত ছিল ",food,conflict
405,"বিশেষ অফার দেয় না,মেনু ভাল দেখায়, চিলির সমুদ্র ব্যাশ অফার ছাড়া, কিন্তু সার্ভার বাইরে বোর্ডে লিখিত ছিল ",service,negative
406,সেক্সি।,anecdotes/miscellaneous,positive
407,"এটি সত্যিই শ্রেষ্ঠ খাদ্য ছিল, স্যুপে আমার কখনও পেঁয়াজ কখনও রসুন ছিল",food,positive
408,"আমি বলব স্পষ্টতই আমার প্রিয়, এই বাগানের ফাস্ট ফুড যুগটি ",anecdotes/miscellaneous,positive
409,আমি picky না -কিন্তু এটি আসলে মোটামুটি ছিল,food,negative
410,"সামগ্রিক  পাশাপাশি একটি কঠিন চুক্তি, একটি কঠিন রেস্টুরেন্ট এবং কম $ 40pp (ওয়াইন সহ)",anecdotes/miscellaneous,positive
411,"সামগ্রিক  পাশাপাশি একটি কঠিন চুক্তি, একটি কঠিন রেস্টুরেন্ট এবং কম $ 40pp (ওয়াইন সহ)",price,positive
412,"আক্ষরিকভাবে এটি সম্পূর্ণ প্রাচীরের একটি  গর্ত, এটি প্রথম দিকে একটু ভয়ের, তবে যত তাড়াতাড়ি বন্ধুত্বপূর্ণ স্টাফগুলি আপনাকে স্বাগত জানায় তত দ্রুত তা পান করুন - কী পেতে হবে তা নিয়ে সাহায্য চাইতে দ্বিধা করবেন না।",service,positive
413,"আক্ষরিকভাবে এটি সম্পূর্ণ প্রাচীরের একটি  গর্ত, এটি প্রথম দিকে একটু ভয়ের, তবে যত তাড়াতাড়ি বন্ধুত্বপূর্ণ স্টাফগুলি আপনাকে স্বাগত জানায় তত দ্রুত তা পান করুন - কী পেতে হবে তা নিয়ে সাহায্য চাইতে দ্বিধা করবেন না।",ambience,negative
414,"এটি একটি ডিনারের স্থান তবে ডিম সামের জন্য স্পষ্টতই নয় যা পর্যালোচনাগুলির উপর ভিত্তি করে তৈরি, যেখানে আমি এর জন্য  পুনর্বিবেচনা করবো ।",food,conflict
415,"যে শুধু চাল থেকে নয়,কিন্তু আয়তন ট্রিপ বেশী চেয়ে রোল হয়,এটি একটি অভ্যন্তরীণ আউট রোলের মধ্যে একটি নিয়মিত রোল চালু করতে $ 2 অতিরিক্ত খরচ হয়।",food,neutral
416,"যে শুধু চাল থেকে নয়,কিন্তু আয়তন ট্রিপ বেশী চেয়ে রোল হয়,এটি একটি অভ্যন্তরীণ আউট রোলের মধ্যে একটি নিয়মিত রোল চালু করতে $ 2 অতিরিক্ত খরচ হয়।",price,negative
417,"এই জায়গাটি নিজের জন্য একটি নামও তৈরি করবে,এমনকি কোণার চারপাশে জন এবং জো এর সাথে ।",anecdotes/miscellaneous,positive
419,"তখন টনিক পাওয়া যায়নি,অবশেষে তিনি যখন জিন ও টনিক তৈরি করতে ব্যর্থ হন",service,negative
420,আমার বান্ধবী আমাকে রাতের অন্ধকারে দ্রুত ডাইনিতে যেতে রাজি করলো।,anecdotes/miscellaneous,neutral
421,"ডিমের সমষ্টি ঠিক আছে কিন্তু তার যে তাজা স্বাদ নেই, এবং সামান্য পাত্রে তারা (এখানে চীনা চীনা অভাব নোট এছাড়াও) বাষ্পীয় হিসাবে গরম হয় না।",food,negative
422,পূর্ববর্তী পর্যালোচনা সত্ত্বেও .অসম্পূর্ণ ..,anecdotes/miscellaneous,neutral
423,"শিক্ষণীয় হৃদয়ের জন্য বাড়ি থেকে দূরে একটি বাড়ি,এই জায়গাটি প্রথম দৃষ্টিভঙ্গির বিচার করবেন না, আপনাকে এটি বিশ্বাস করার চেষ্টা করতে হবে ।",anecdotes/miscellaneous,positive
424,"নিশ্চিত, সাল জানতে, নিউ ইয়র্ককে জানতে হয়, সবাই তাদের প্রিয়জনকে পেয়েছেন।",anecdotes/miscellaneous,neutral
425,আমি মনে করি এটা একেবারে উজ্জ্বল এবং ভাল চালানো ব্যবসা অপারেশন।,anecdotes/miscellaneous,positive
426,এছাড়াও তারা ছিল $ 15 প্রতিটি!,price,negative
427,"কিছু লোক যা তারা চেয়েছিল তা পায়নি,এই পরিষেবাটি ঠিক আছে।",service,conflict
428,"আমি এভাবে খাবার খাইয়েছিলাম আমার বন্ধুরা কয়েক মাস ধরে এ বিষয়ে এত কথা বলেছিলো, আমি অবশেষে কান খোলা করে শুনছিলাম।",anecdotes/miscellaneous,neutral
429,"এই জায়গায় শুধু জায়গা নয়, যদি আপনি ভাল খাঁটি থাই চান ",food,negative
430,"আমি একটি রিজার্ভেশনে সুপারিশ করবো, যদিও আমরা মানুষ একা ছাড়তে seated দেখেছি।",anecdotes/miscellaneous,neutral
431,"আমি এডামমে পুরির সাথে যে পরিমাণে মজা নিতাম,সেটি ছিল তাদের গ্রিল চিকেন।",food,neutral
432,এই রেস্টুরেন্টের আশেপাশের ভাল হিসাবে আসা ,anecdotes/miscellaneous,neutral
433,"তাদের চেষ্টা,যদি আপনি কিছু রোস্ট ডিক, শুকরের মাংস বা আদা সঙ্গে চিকেন চান।",food,positive
434,আপনি একটি সম্পূর্ণ অভিজ্ঞতা অনুভূতি দিয়ে মেনু থেকে অর্ডার দেন।,anecdotes/miscellaneous,negative
435,"এটি নিশ্চিত ম্যানহাটান চীনতাতানা, সেরামার্কিন যুক্তরাষ্ট্রে আরও প্রমাণিত এটি  Shanghainese রেস্টুরেন্ট ।",anecdotes/miscellaneous,positive
436,আমরা যখন সিটিতে পৌছাবো তখনই আমরা ফিরে যাব।,anecdotes/miscellaneous,positive
437,আমরা টাট্টু গোলাপী  ভালবাসা,anecdotes/miscellaneous,positive
438,"অনেক অর্ডার তাই দ্রুত খাও,",anecdotes/miscellaneous,neutral
439,স্টাফ খুব সুবিধাজনক।,service,positive
440,আগের সমালোচকদের সঙ্গে আমার একমত হতে হবে,anecdotes/miscellaneous,neutral
441,- ইট ক্লাব এনওয়াইসি গ্লুটোনস এর একটি রওয়ের গ্রুপ,anecdotes/miscellaneous,neutral
442,"এই রেস্টুরেন্ট একটি দ্বিতীয় সুযোগ দিন,এটি প্রথম খোলে যখন আপনি সেখানে ছিলেন।",anecdotes/miscellaneous,positive
443,আমি একটি 8:00 রিজার্ভেশন জন্য আমার প্রেমিকার সঙ্গে Del Frisco এর শুক্রবার রাতে গিয়েছিলাম।,anecdotes/miscellaneous,neutral
444,"আপনি যদি সাকুগুরা পছন্দ করেন তবে আপনি মনে করেন এটা খুব বেশি, আপনি ভালোভাবে ইয়োকোকো চেষ্টা করবেন।",anecdotes/miscellaneous,neutral
445,"আপনি নিজে আমার সাথে একমত না হলে, একটু অনুগ্রহ করুন এখানে ডিনার আছে",anecdotes/miscellaneous,positive
446,এটি অবশ্যই  মহান স্পট তারিখ একটি চমৎকার অনুষ্ঠান ,anecdotes/miscellaneous,positive
447,আপনি এই জায়গায় ভুল করতে পারেন না,anecdotes/miscellaneous,positive
448,খুব জনপ্রিয় শৈলী Izakaya (ধৈর্য এবং বন্ধুত্বপূর্ণ খাবারের ছোট অংশ)।,food,positive
449,"হিরো এর মতোই চিয়ার্স,যেখানে সবাই আপনার নাম জানে,আপনি এসেছেন আসলেই তারা আনন্দিত।",service,positive
450, খুব লাভজনক এবং উদাসীন  না।,ambience,positive
451, খুব লাভজনক এবং উদাসীন  না।,price,positive
452,"উত্কৃষ্ট, সজাগ, নিন্দা না  ছাড়া,খাদ্য এবং সেবা ভয়ঙ্কর ছিল না",food,positive
453,"উত্কৃষ্ট, সজাগ, নিন্দা না  ছাড়া,খাদ্য এবং সেবা ভয়ঙ্কর ছিল না",service,positive
454,"কিছু রoti রোলস চেষ্টা করার জন্য, এটি একটি আশ্চর্যজনক স্থান।",food,positive
455,টাটকা উপাদান এবং সবকিছু অর্ডার করা হয়।,food,positive
456,"আমরা তাদের কাছ থেকে মাত্র কয়েক মিনিট হাঁটার সময় নিয়ে বাস নেই, এবং খাদ্য দ্রুত বিতরণ করার জন্য যাই, কিন্তু আমদের খাবার বা টিপ চার্জিং সঙ্গে কোন সমস্যা ছিল না।",service,positive
457,বন্ধুত্বপূর্ণ এবং  সেবা দ্রুত ,service,positive
458,প্রামাণিক বিস্ট্রো!,anecdotes/miscellaneous,positive
459,"তারা গড় আমেরিকান পাচনতন্ত্রের সাথে ভালভাবে জাল খারিজ করে না,কারণ কেবল তারা সুস্বাদু,  মাংস খাওয়ার পরামর্শ দিয়ে থাকে।",food,conflict
460, হেঙ্ক কিছুটা কিন্তু কি মূল্যবান,price,negative
461,"এই জায়গাটি সস্তা নয়,এটা সত্য ।",price,negative
462,"তারা স্ফূর্ত এবং সুস্বাদু,হট কুকুরও চেষ্টা করুন।",food,positive
463,ডেলিভারি খুব দ্রুত ।,service,positive
464,"পিবিএস-এ আমেরিকা জুড়ে খাদ্যগুলি দেখার সময়,আমি ক্যাটজ ডেলি সম্পর্কে খুঁজে পেয়েছি, কারন দক্ষিণ থেকে আমার এলাকার কোন ভাল উপত্যকা নেই।",anecdotes/miscellaneous,neutral
465,"কথোপকথন অসম্ভব,কারন শব্দ স্তর অসহনীয় ছিল ।",ambience,negative
466,ব্যক্তিগতভাবে যারা নিখুঁত আকারে ক্ষুধার জন্য থাকে তারাই রাতে pans পায়  ,food,positive
467,সুপারিশ করা হবে কারণ অত্যন্ত মসলাযুক্ত ভাজা ক্লাম রোলস এবং স্পাইডার রোলস।,food,positive
468,এমন কোনও তথ্য পাওয়া যায়নি যে আগেকার একটি ব্যক্তির  মন্তব্য  করার মেনু দিয়ে এই রেস্টুরেন্টে চলছে ।,anecdotes/miscellaneous,positive
469,এটা সুবিধাজনক,anecdotes/miscellaneous,positive
