Text,Polarity
মেলায় আলো ছড়িয়েছিলো ডিভাইসটি,positive
পারফর্মেন্সের দিক থেকে অনেক বেশি উন্নত ,positive
শয়তানদেরকে যারা পার্শ্ববর্তী দেশ মায়ানমারের মুসলমান হত্যার কোন রিপোর্ট করে না আবার তুরস্ক নিয়ে নাক গলায় তোমাদের মত গুটিকয়েক নাস্তিকের সমর্থন না থাকলে ও কোটি কোটি ধর্ম প্রান মুসলমানের ,negative
সমর্থন তুরস্ক সরকারের প্রতি আছে আর নিজে দেশে কতটুকু গনতন্ত্র আছে পারলে সেটা নিয়ে দু এক কলাম লিখ ,negative
 তুরস্ক নিয়ে মাথা ব্যাথা কিন্ত আমাদের দেশে যে এর চেয়ে বেশি হাজার হাজার বিরোধী দলের নেতা কমর্ী বিনা বিচারে জেলে পচেঁ মরতেছে তার তো কোন খবর আসেনা হলুদ মিডিয়া কোথাকার ,negative
শিরোনাম দেখে মনে হল তোমাদের অনেক কষ্ট লেগেছে কিন্তু মিয়ানমারের মুসলমানদের কান্নার আওয়াজ তোমাদের কানে আসে না ,negative
অভু্্য ন্থান চেষ্টা ব্যর্থ হওযায় আমেরিকা ই ইউ ও ভন্ড গনতন্ত্রের পুজারিদের কলিজায় আঘাত লেগেছে যা সারতে কষ্ট হচ্ছে বলেই এত সমালোচনা ,negative
ওবামা ইউনুস মালালা সুচি এদের সকলের নোবেল প্রত্যাহার করা উচিৎ কারন শান্তিতে এদের কোন অবদান নেই এরা অশান্তির কারন ,negative
 মিঃ এডমিনতুরস্কের গনতান্ত্রীক অবস্থা বিচার করার আগে নীজ দেশের কথা বিচার করুন সত্য প্রকাশ করার জন্য প্রায় বছরের ও বেশি সময় কারাগারে কাটিয়েছে এক পত্রিকার সম্পাদক বিরোধি মতাবলম্বীরা তো ,negative
অগনিত আছে কারাগারে আগে লিখুন আপনি যাদের পা চাটেন তাদের কুকর্মের কথা কথায় আছে না আসল ঘরে মশাল নেই বাকিটা বুঝে লন ,negative
 নিজের দেশ নিয়ে ভাব তুরস্ক কে নিয়ে ভাবতে হবে না তুরস্ক ঠিক পথেই আছে ,negative
 তুরুস্ক নিয়ে প্রথম আলোর মাথা ব্যাথা পশ্চিমা সহ ইহুদিদের ন্যায় এই পত্রিকাটি যখনি সুযোগ পায় মুসলিম বিদ্বেষী হয়ে পরে ,negative
বাংলাদেশে কি হচ্ছে সেটা নিয়ে একটা রিপোর্ট করে প্রথম আলো প্রমাণ করুক বাংলাদেশে সংবাদমাধ্যম কতটা স্বাধীন তুরস্ককে নিয়ে মাথা ঘামিয়ে লাভ নেই ,negative
 সব গণতন্ত্র ও উন্নয়ন এখন প্রথমমালুর দেশে যারা এটা মানেনা তারা পাকিস্তান বা তুরস্কে চলে যেতে পারে ,negative
 মিডিয়ার পাছা চুলকাচ্ছে কারন তুরস্কে ধর্ম নিরপেক্ষতা জনগন ছুড়ে ফেলে দিয়েছে ইসলামকে বুকে টেনে নিয়েছে ,negative
তুরস্কে যখন অভ্যুথন হয়েছিল তখন যদি এরদুগান খমতাচ্যুত হত তখন আপনাদের ভালো লাগতো যেমন মিশরে সিসি খমতায় তোদের খুব ভালো লাগতেছে মিসরের জনগনের উপর যে নির্যাতন হয়তেছে তা তো ,negative
কোনদিন আপনাদের পত্রিকায় রিপোর্ট দেখলাম না আর আমরা মুসলমানেরা আসলেয়ী অনেক বেশী খারাপ কারন আমাদের টাকা দিয়েই আমরা প্রথমআলো কিনে তাদের এই সকল মুসলিম বির্দেষী খবর প্রচারে ,negative
সাহায়্য করতেছি তবে ভাই একটা কথা কবরে এর হিসাব দিতে পারবেন যারা মুসলিম হয়ে প্রথমআলো কিনে তাদের কাছে আমার প্রশনো ,negative
এডমিন এ কোন ধরনের নিউজ লেখতোমার গালি দেয়ার মত খারাপ ভাষা আমার জানা নাইতুই মনে মনে একটা খারাপ গালি ভাব মনে কর আমি দিছি ,negative
নিজের দেশের গনতন্ত্র নিয়ে তো কখনো মাথা ঘামাতে দেখলাম না যারাই দেশের শান্তি চায় তোমরাদেরকে তাদের বিরুদ্ধে লাগতে দেখি ,negative
প্রথম আলো একটি জারজ পত্রীকাএদের সংবাদের উল্টোটাই ধরে নেবেনএই সূত্রে তুরস্কে ভালটা হচ্ছেযেহেতু তাদের কাছে তুরষ্ক খারাপ ,negative
যখন অমুসলিম দেশ এবং মুসলিম বিদ্বেষী পত্রিকা কোন মুসলিম দেশের অযথা সমালোচনা করে তখন বুঝে নেয়া যায় ঐদেশ সঠিক পথেই আছে ,negative
এই এরদোয়ান আইএসআই এর পৃস্ঠপোষক  ওবামা আর হিলারীর বানানো আইএসআই এর একমাত্র বৃহৎ তৈল খরিদ্দার এই এরদোয়ান নিজের ক্ষমতা টিকিয়ে রাখার জন্য হাজার লোককে চাকুরীচ্যুত করেছে  ,negative
হাজার হাজার শিক্ষক কে চাকুরীচ্যুত করেছে  ,negative
নতুন ডিজাইনের ব্যাটারি ব্যবহার করায় শক্তিও বেশিক্ষণ স্থায়ী হবে,positive
এখন গেমটি লোড হতে কম সময় লাগবে এবং পারফর্মমেন্স দুর্দান্ত হবে ,positive
গেমটি খেলার সময় ক্রাশ হবে কম,positive
গুগলের নতুন পদ্ধতিটি কাজে লাগবে,positive
পদ্ধতিটি নিরাপদ ,positive
বিভিন্ন বিধিনিষেধ আরোপ করতে সক্ষম হবে ,positive
দাগ পড়লে সেটি স্বয়ংক্রিয়ভাবে মুছে যাবে ,positive
আমি সাফল্য কামনা করছি,positive
নিষ্পত্তি সহজ হবে বলে ধারণা করা হচ্ছে,positive
পানির সংস্পর্শে এসে ডিভাইস যেনো ক্ষতি না হয় তা নিশ্চিত করে,positive
ডিসেম্বর মাসে উল্কার অংশবিশেষ খুঁজে পাওয়া যায়,positive
বিভিন্ন বিধিনিষেধ আরোপ করতে সক্ষম হবে,positive
শ্রম ও অবদানের জন্য কৃতজ্ঞতা প্রকাশ করেছেন,positive
সব কম্পিউটার গেইম খেলা সম্ভব হবে ,positive
ডিভাইসও আরো বেশি হালকা এবং দ্রুত সাড়া দেবার ক্ষমতা পাবে,positive
প্রতিদ্বন্দিতা করতে সক্ষম হবে,positive
রং পরিবর্তন করে নিতে পারবেন চালক ,positive
গাড়ির সঙ্গে কথোপকথন বা যোগাযোগ করতে সক্ষম হবে,positive
তিনি আরো উন্নত করার পরিকল্পনাও করেছেন,positive
মেমোরি ব্যবহারের সুবিধা রয়েছে,positive
আমাদের দেশের কিছু আবাল আছে যারা হুদাই কিছু না বুঝেই ফেইসবুকে এরদোয়ানের তৈল মর্দন করতে ব্যস্ত  এরদোয়ান নাকি মুসলিম বিশ্বের ত্রাতা কথা শুনলে হাসি আসে একে একে চোখের সামনে মুসলিম ,negative
দেশগুলো ধ্বংস হচ্ছে অথচ এরদোয়ান টু শব্দটি পর্যন্ত করছে না  আর বাংলাদেশের আবালরা তার প্রেমে দিওয়ানা ,negative
তুরস্ক এখন অামেরিকার বগল থেকে বের হয়ে চিন রাশিয়া বগলে ডুকতেছে দেখিস কোনদিন চিন রাশিয়া তাদের পুদে পুটকি মেরে দেয় সাবধান থাকিস লোল ,negative
 যেখানে শত শত সাংবাদিক জেলে আছে সেই দেশ নিয়ে আবার বাঙ্গালিরা নাচা নাচি করে ,negative
তুরস্কের ল্যান্ড ব্যাবহার করেই তো এমেরিকা সাদ্দামকে কাবু করে এরা আবার মুসলিম বান্দ্ধব অইলো কবে থেকে  আইঅসের মাধ্যমে চুরির তেল যায় তুরস্কে এর পর তা বিক্র হয় টাকা যায় মার্কীনের পকেটা যার ,negative
হুমন দির পােলা তোর দেশের গনত্রন্ত গরুয়ে চাটে ঐটা দেখতে পাছ না ,negative
তুর্কী নিয়া পতিবদেন করছ মুসলিম দেশ গুলা নিয়া যে তোদের একটা চুলকানি আছে তা আমরা ভাল ই জানি ,negative
তোদের মতো নাস্তিক দের ও ইয়াহুদিদের মুখে তুরুস্কের নাম শুভা পায়না কারন তোদের মতো অনেক চেডের ভাল আবদুল্লাহ নাস্তিক দের ডান্ডামেরে ঠান্ডা করে দিয়েছে তাই বামন হয়ে চাদে হাত বারিওনা ,negative
নিজ দেশের কতটুকু গনতন্ত্র আছে তা তলিয়ে না দেখে সামরিক অভ্যুত্থান কারি দের পক্ষ নিয়ে তুরস্কে গনতন্ত্র খোঁজার কি দরকার পড়ল প্রথম আলোর বুজলাম না ইন্ডিয়াতে ট্রেন দুর্ঘটনা নিয়ে মশলা লাগানো ,negative
কয়েকটা নিউজ করেছে এই পত্রিকা কিন্তু পাশের দেশের বৌদ্ধ দের হাতে নির্মম নির্যাতীত মুসলমান দের পক্ষে মসলাযুক্ত কোন হেড লাইন পেলাম না কি বুজে নিব কার পক্ষে এই পত্রিকার অবস্থান ,negative
 প্রথম আলোদের কথা কি বলব তারাতো কাদিয়ানীর ভাই জঙ্গিকে বানায় মাদারতেরেসা বিনদেশি ডেন্গা হাতিকে বানায় বঙ্গবাহাদুর নিরহ রোহিঙ্গাদের বানায় টেররিস্ট নিজের সদ্কায় তেল না দিয়ে এখন গেছে ,negative
তুরুস্কে এরদোগানকে কিভাবে তাড়ানো যায় সে চিন্তায় ,negative
ডিভাইসটি ব্যবহারের সুবিধা দেবে,positive
 আমার খুব প্রিয় মডেল আমি খুব ভালো বাসি মিম আপু ,positive
 ভাই সব আপনাদের খুব ভাল লাগছে,positive
 আপু তুমি অনেক ন্যচারাল সুন্দর,positive
 রাজশাহী শিরইলে অনেক রকমের পাখি আসে আমি দেখছি সেগুলো উদ্ধারকরা হক  ,positive
তাদের কত সম্মান করি আমরা ,positive
 এদেশে যতই জনসংখ্যা বেশি হোক তারপরেও জীবন বাঁচাতে আসা রোহিঙ্গাদের আশ্রয় দেওয়া উচিৎ ,positive
 নতুন সিমে প্রথমবার টাকা রিচার্জে আপনি মিনিট বোনাস টকটাইম যেকোনো লোকাল নম্বরে জিবি ডাটা টি এসএমএস সাথে পয়সাসেকেন্ড ,positive
যেকোনো গ্রামীণ নাম্বারে এবং পয়সাসেকেন্ড যেকোনো অন্য অপারেটরে অফার গুলো পাবে ,positive
 বি বি সি কে অনেক ধন্যবাদ ,positive
 বিজ্ঞান কোথায় যাচ্ছে বিজ্ঞানের জয়রথ আরো এগিয়ে যাক ,positive
 ধন্যবাদ হাজাও হারলে সমসা নাই আরে হারে আমি আচি তেমার সাতে ,positive
বর্তমানে আমাদের পরিচিত বন্ধ সিম এর একটি চমৎকার অফার চলছে এই অফারটি একটি নাম্বার স্পেসিফিক অফার এবং অফারটি শুধুমাত্র ,positive
সেই সব নাম্বার থেকে নেয়া যাবে যেই নাম্বারে থেকে এসএমএস এর মাধ্যমে অফারটি জানানো হয়েছে ,positive
 মোমবাতি বা ক্যান্ডেল লাইট যুগ যুগ ধরে আলো দিয়ে উদ্ভাসিত করে আসছে মানব সভ্যতাকে সেই মোমবাতিই আপনার আপনজন এর সাথে ,positive
 তুরস্কে কিছুই হচ্ছে না যা হচ্ছে সব মায়ানমারে এক দুইটা সন্ত্রাসি সাংবাদিক ধরলে তাদের গাঁ জ্বলে যাইএমন ভাবখানা যেন তারা অপরাধ করেনা নিষ্পাপ ,negative
 এরদোয়া বিশ্বের নাম্বার ওয়ান প্রেসিডেন্টমায়ানমারে এতো কিছু হচ্ছে তার কোন প্রতিবাদ নেইটু শব্দ নাইএখন আছে তুরস্ক নিয়ে ,negative
তুরস্ক কারু ভিক্ষারর ভয় করে যে কিছু করলে ভিক্ষা দিবে না ,negative
 নিজের দেশে কী হচ্ছে সেটাই আপনাদের বুক ফুলিয়ে বলার সাহস নাই তো অন্য দেশ নিয়ে বারাপাকামো ,negative
প্রথম আলো তোমার নিজ দেশে গণতন্ত্র অাছে কিনা আগে সে রিপোর্ট কর পৃথিবীজুড়ে কোথাও কি সিটে বিনা ভোটে নির্বাচিত হয়ে সরকার গঠন করা হয়েছে কিনা সে রিপোর্ট করঅথচ তুরস্কে কি হচ্ছে না হচ্ছে ,negative
সেটা অনলাইনে খুজে খুজে রিপোর্ট ছাপাওনিজের চরকায় তেল দাও তারপর অপরের দোষ খুজিও পৃথিবীজুড়ে কোথাও একটা রিপোর্টের জন্য একজন সাংবাদিককে দিন কারাবাস দেয়া হয়েছে কিনা সেটা খুজে ,negative
 গবেষণা সংস্থা ওয়ার্ল্ড জাস্টিস প্রজেক্টের চলতি বছরের আইনের শাসন সূচকে বিশ্বের টি দেশের মধ্যে তুরস্ক অবস্থান তম প্রথম আলোর সাংবাদিক সাহেব কিন্ত লিখেন নাই যে বাংলাদেশের অবস্থান কত তম  কারণ ,negative
প্রথম আলোর এখন বাংলাদেশের নিয়ে চিন্তা করার সময় নাই তারা এখন বিশ্বের গণতন্ত্র নিয়ে ব্যস্ত  অথবা পশ্চিমারা যা শেখাচ্ছে তোতা পাখির মত তাই আউরে যাচ্ছে ,negative
 প্রথম আলোকে বলছি তুরস্কের দিকে না থাকিয়ে একবার মিয়ানমারের দিকে থাকান ,negative
 পথম আলো সাংবাদিক দের যেখানে পাও গণধোলাই দাও ,negative
তুরোষ্কে প্রথম অালুর চৌদ্দ গুষ্টিরে করা হচ্ছে ,negative
 প্রথম আলো নিজের চরকায় তেল দাও ,negative
 মিডিয়া ধোয়া তুলশি পাতা সব দোসের মূলে শালার মিডিয়া নিজের গায়ে ব্যাথা লাগলে সাবাইর শুর এক হয় ,negative
 নিজের দেশ এবং নিজের আখের গোচাতে হিমসিম খাচ্ছে আবার ইচ্ছা ,negative
 মুসলিম দেশ গুলো নিয়ে আপনাদের উংগ্লী করা গেলো না ,negative
 প্যারাসিটামল দুইবেলার মত তোগো পুটকি মারি হালারপু নিজের দেশের দিকে চাইয়া দেখ ,negative
 এরকম গঠনা বাংলাদেশে ও হয়ছে তখন তো কোন রিপোর্ট করেন নাই ,negative
 প্যারাসিটামল দুইবেলার মত তোগো পুটকি মারি হালারপু নিজের দেশের দিকে চাইয়া দেখ ,negative
 এরকম গঠনা বাংলাদেশে ও হয়ছে তখন তো কোন রিপোর্ট করেন নাই ,negative
কিছু মুহূর্ত করে ফেলতে পারেন আনন্দময় যদিও ক্যান্ডেল লাইট ডিনারের সাথে আমরা অনেকেই কমবেশি পরিচিত তবুও ব্যপারটা অনেকে পশ্চিমা কালচার বলে এড়িয়ে চলি তবে সত্যি বলতে আসলে সুন্দর পরিবেশ সুন্দর জিনিসের কোন জাতি ধর্ম দেশ ভেদ নেই  এর জন্য প্রয়োজন একটু সদিচ্ছা  আমদের অনেকেরই হয়তো ক্যান্ডেল লাইট ডিনার করার ইচ্ছা আছে আমাদে ,positive
 মানবিক দৃষ্টিকোন থেকে বিবেচনা করে তাদের প্রাথমিকভাবে অাশ্রয় দেয়া উচিতমানুষ মানুষের জন্য দেশ জাতিগত বিবেদের অাগে মনুষত্বতাই অামাদের উচিত তাদের সাহায্য করা ,positive
 আসতে দেওয়াহকপ্রয়োজনে সব হিন্দুদের ভারত পাঠিয়ে দিয়ে তাদের থাকার ব্যবস্থা করা হককারন মুসলিম সবাই ভাই ভাই ,positive
 সবার প্রিয় হানিফ ভাইয়া আপনাকে অনেক ধন্যবাদ অনেক ভালো একটা অনুষ্ঠান প্রচার করার জন্য ,positive
 আমার মনের আবেগ থেকে বলতে পারি রহিঙ্গারা য়েমন মানুষ আমরা ও মানুষ মানুষ মানুষের জন্য অতএব জাতি বর্ন ধরর্মো পৃথিবীর সকল মানুষকে রহিঙ্গারদের পাশে দারাতে হবে তবেই তো রহিঙ্গাদের মঙ্গল বয়ে আসবে কবিতা মানুষ মানুষ মনুষ মানুষ গায়ে লাগে য়খন আগুনশিদ্ধো মাংসে হয়ে য়ায় বেগুনআশে পাশে মানুষ য়ারা চোখ বলে দেখে তারা চোখের ছানি রক্তে জমাট আছে কেউ পাশে মোরা চোখটা গুট করে দিবে তারা ,positive
আমাদের মন্ত্রী মেহের আফরুজ চুমকি আপাও এর পক্ষে ছিল ,positive
আমার মত প্রবাসীদে কাছ থেকে কমিশন নিয়ে একটা বিল করাহোক ,positive
 মাননীয় ঢাকার মেয়র সাঈদ খোকন ষোলো কৌটি বাঙালির মনের কথাটা বলেছেন  ,positive
 জাতিসংঘ যদি রোহিঙ্গা শরনার্থীদের পূর্নবাসনের জন্যে বাংলাদেশ সরকারকে সহায়তা করতে সম্মত হয় তাহলেই সরকারের উচিত হবে তাদের ,positive
আমরা ওবামার কাছে ভাল কিছু আশা করেছি কিনতু কিছুই পাইনি বরং ,positive
 ভাই তোমরা দুজনে মিলে চুটিয়ে প্রেম কর আর সিনামায় অভিনয় কর ,positive
 এ এস পি স্যার রাইট বলেছেন ,positive
 সিমান্তে গেইট খুলে দেওয়া হুক ,positive
 আপনাকে স্যালুট স্যার এইচ চি ইমাম ,positive
 তুরস্কে ভালই হচ্ছেনিজের চরকায় তেল দিন কাজে দিবে ,negative
 প্রথম আলো সব সময় মুসলমানদের দোষত্রুটি নিয়ে চর্চা করে ,negative
 প্রথম অা লো অা গ ে নিজ দে শের গনতন্ত্র ঠিক করেন ,negative
 নিজের তর্কায় লবন নায় পরের তর্কার চিন্তা ,negative
 দালালের বাচ্চারা নিজ দেশের গণতন্ত্র নিয়ে লেখ ,negative
 এই রিপোর্টে আবার ও প্রমান হল প্রথম আলোর গ্রহনযোগ্যতা দিনে দিনে অধপতন ,negative
 নিজে চলে দালালি করে আবার অন্যকে বলে ভাল হয়ে যা ছিঃ প্রথম আলো ,negative
 কি আর হবে সেকুলারদের বাশ দিচ্ছে ,negative
 দিল্লি আলোর কাজ হচ্ছে উসকানি মুলুক কথা ,negative
 দুনিয়ার জ্বলন্ত জাহান্নামের নাম এখন তুরস্কতুরস্ক দোজখে পরিণত হয়েছে লাখ লাখ মানুষকে চাকুরিচ্যূত করা হচ্ছে জেলে পুরা হচ্ছে কারো কোন অধিকার নাই সেখানে ,negative
 আপনার দেশে কি গণতন্ত্র আছে হা সুচিরা যখন নোবেল পায় আপনাদের চিৎকার চেঁচামেচি আর মোটা মোট হেডলাইন হয় কিন্তু মায়ানমারে মুসলিমরা মরলে আপনারা জেগে জেগে ঘুমান ,negative
 পশ্চীমা গনতন্ত্র মানে ঠকবাজী যেমন মিশরে গনতন্ত্র লাগে না সৌদিতে গনতন্ত্র লাগে নাযে দেশ পশ্চীমা যুক্তরাষ্ট যুক্তরাজ্যেরমতে চলে তার গনতন্ত্র লাগে নাআর যে দেশ গনতান্ত্রিক ভাবে চলে কিন্তু তাদের কথা মতে চলে না তারা পশ্চীমা ভাষায় গনতান্ত্রিক না ,negative
 প্রথম আলো তোদের খুব কষ্ট হচ্ছে তাই না খিস খাইয়া পইরা থাক কোনো কথা বলবি না ,negative
 শালার প্রথম আলো নিজের চরকায় তেল দাও সারাজীবন ইহুদি আর মুশরেকদের দালালীই করে গেলি তুরস্ক সারাবিশ্বের জন্য রোল মডেল এটা বুজতে হলে তোদেরকে মানুষ হতে হবে ,negative
 তরস্কের মানুষ বিশ্ববাসিকে জানিয়ে দিয়েছে তারা কি চায় কিছু সংখক সার্থবাদি লোকের কারনে তুরস্কের অবস্তাও লিবিয়া মিশরের মত হতে যাচ্ছিলো পশ্চিমা বিশ্বের ষড়যন্ত্র নস্বাৎ হওয়ায় তারা এখন ঘেউ ঘেউ করছে আর তাদের সাথে নাস্তিক মার্কা মিডিয়াগুলোও ,negative
 বাংলাদেশে হচ্ছেটা কি চুলকানিযুক্ত তাই লেখা হয়না ,negative
 নিজ দেশের গণতন্ত্র নিয়ে আগে লিখ তার পর অন্য দেশে হাত দিও শালা চুটিয়ার দল প্রথম আলো ,negative
 সালাদের সুখে থাকলে বুতে কিলায় সাদ্দাম হোসেন ছিল মুয়াম্মর গাদ্দফি ,negative
 ভন্ড এরদোগান টার্কির প্রগতিশীল স্বাধীন মুক্তচিন্তার লোকদের উপর অত্যাচার নির্যাতন করে অনেককে দেশত্যাগে বাধ্যকরে একনায়কতন্ত্র কায়েম করেছে নারীদের স্বাধীনতা অধিকারকে করেছে খর্বস্বাধীন সংবাদ পএ ও সাংবাদিকের উপর নেমে এসেছে খড়গ বোরকা হিজাবের মতো অদ্ভুত পোষাক পড়তে বাধ্য করছে শিশুকে ধর্ষন করে বিবাহ করাকে আইনগত বৈধতা দেওয়া হয়েছে কামাল আতার্তুক প্রতিষ্ঠিত আধুনিক সেকুলার টার্কিকে এরদোবাল মধ্যযুগের দিকে নিয়ে যাচ্ছে জনক বর্বর যুদ্ধবাজ নারীবাজ মধ্যযুগের আরবের এাস মুহম্মদের আদর্শ বাস্তবায়ন করতে নিজদ ,negative
 ইহুদি চক্রান্ত গভিরতা অনেক বেশি মুসলিম সাসকেরা তাদের কাছে একের পর এক পরাজিত হচ্ছে এবং হবে মুসলিম দেশগুলি কোন ঐক্ক নাই এই ভাবে চলতে থাকলে সবার কপালে অনেক দুরগতি আছে সময় এখনো আছে সবাইকে ভাবতে হবে ,negative
যারা প্রোফাইল পিকচার চেইঞ্জ আর ফেসবুকে ফেইক ছবি দেখে হা হুতাশ করছি আমরা আসলে জানিই না কী ঘটছে রোহিঙ্গাদের সঙ্গে মায়ানমারে যা ঘটছে সে সব না হয় বাদই দিলাম বাংলাদেশে আশ্রয় গ্রহণের পর তাদের নিয়ে যে পাশবিক তাণ্ডব চলছে আল্লাহ মাফ করো ভয়াবহ মুখে বলার মতো নয় সেসব পাশবিকতা ,negative
 যা হচ্ছে ভালই হচ্ছে আর বাংলােদশের মিডিয়া নিজেদের অবস্থা আগে বিবেচনা করুন আপনাদের মুখে ত কাদা মেরে রাখছে নিজেদের বৈশিষ্ট হারিয়ে ফেলছেন ,negative
কেউ নিজেকে সেভ করে রাষ্ট্রকে সেভ করলে দোষী হয় এই প্রথম শুনলাম এদের মাথা নিশ্চই ,negative
 মুসলমানের শএু অাকাটাদের বন্ধু অাবার প্রমান করলো ,negative
 শালা চোখ টেরা ম তি তোর কা ছে শিখ তে হ বে না তুর স্কের তোর চরকায় তেল দে ,negative
সরকারী চাকুরী করে যদি মানবতার বিরুদ্ধে কাজ করতে হয় তাহলে তা ছেড়ে দিয়ে পানের দোকানদারি করা উত্তম ,positive
টাইগাররা নিজেদের সেরাটা উজাড় করে দিয়েছে এটাই সেরা প্রাপ্তি ,positive
 ওনারা বাংলাদেশে থাকবে অবস্যই থাকবে ,positive
 দোয়া করি তোমার হাত ধরেই যান বাংলাদেশের বিশ্ব কাপ জয় হতে পারে  এগিয়ে যাও তোমার পিছনে বাংলার কোটি মানুষ ,positive
 বাংলাদেশ সরকারের উচিত মানবিক দিক বিবেচনা করে নির্যাতিত নিগৃহীত বার্মার রোহিঙ্গা মুসলমানদেরকে অনুপ্রবেশের সুযোগ করে দেওয়া ,positive
 দ্রুত দেয়ার ছাইতে সটিক খবর দেয়া ভাল সেটা প্রথমআলো করে ,positive
 ভারত হারলে সবচেয়ে খুশি হই ,positive
 বিবিসিকে স্যালুট আর নেতাকে অশেষ ধন্যবাদ ,positive
 সুন্দর একটি সামাজিক পেজ  লাইক দিয়ে পাশে থাকুন  গল্প ও ইতিহাস ,positive
 অনু মতি দেয়া হোক আমিন ,positive
 যাও গিয়ে জিতে এসো শুভকামনা থাকলো ,positive
 সবাইতো প্রায় সঠিক জবাব দিচ্ছে ,positive
 জটিল কিউটের ডিব্বা নাম্বার এর নাম্বার কিউটের ডিব্বা বেবি ,positive
 ভারতীয় সিরিয়াল থেকে ডাবিং করা বিদেশি সিরিয়াল গুলো অনেক ভালো আছে ,positive
 আমার বয়স যখন মাত্র ষোল বছরতখন বিয়ে করি এক তের বছরের মেয়েকে বাবা মার ইচ্ছেতেই বিয়ে হয়েছিল আমাদের নিজেই লুঙ্গি সামলে রাখতে পারতামনা রাতে ঘুমুলে গিট্টু দিতামঅথচ সেই আমি তখন চেষ্টা করতাম ছোট্ট বউটাকে শাড়ি পরিয়ে দিতে নিজেই পেতামনা পকেট খরচের টাকা অথচ বউয়ের জন্য আচার কিনতে হত খুব সুন্দর ছিলো দিনগুলিভালবাসা যেন অজান্তেই তৈরি হয়েগেল মনের ভিতরপ্রথম কেউ বলতে সেই ছিল আমার জীবনে সে ছিল খুব ছোট হাসত খেলতবাবা মা তার কান্ড দেখে হাসতেন আমিও হাসতাম এইভেবে যে এটাই আমার বউ ছোট্ট মিষ্টি সোনা বউসারাদিন ,positive
 শাকিব ভাই আপনার মেয়েটাকে একজন হাফেজা বানাবেন ,positive
 সালা আপপ্রচার চালাণো পয়তারা কতাছে ভূয়া খবর ,negative
 বলা উচিৎ ছিল আরাকানে হচ্ছেটা কিতা না বলে পশ্চিমাদের পদলেহনছি প্রথমআলো ,negative
 তুর্কীর নং আর বাংলাদেশের অবস্তান জানি কত নাম্বারে  প্রথমআলো না বলে প্রথমঅন্ধকার বলা দরকার ,negative
 তুরস্ক নিয়ে কথা বলে পার পাবেন না কারন সেটা এক ভন্ড মুসলিম লিডারের কবলে পরেছেসো বার্মার মিথ্যা ভিডিও আর নিউজ ছাপেন তারপর দেখেন চোর চট্টা আর টাউট বাটপারেরা আমিন আমিনের বন্যায় প্রথম আলোকে ,negative
 তোমাদের মত নাসতিক হলুদ মিডিদের কে আগে জেলে দেওয়া উচিত ,negative
 এতো অভদ্র হই নাই মনে চায় প্রথম আলুতে দাঁড়িয়ে পেশাব করি  ,negative
 পশ্চিমাদের কথামত না চললেই খারাপ রাষ্ট্র বাহ ভালতো ভালনা ,negative
 এই বালের আলোর মুখে যদি গনতন্ত্র শুনতে হয় তাহলে চামচিকাও একটা পাখির মধ্যে পড়ে তোদের কারনে আজ দেশের এই অবস্থা আবার পরের দেশের গনত্নত্রের ছবক দেয় ,negative
 মুসলমান মাত্রই ভীতু দুর্বল অক্ষম এবং হিজরে তার জ্বলন্ত উদাহরণ হল পাকিস্তান তালিবান বোকোহারাম ইত্যাদি কারন এরা পিছন থেকে হামলা চালায় সামনাসামনি মোকাবিলা করার ক্ষমতা এদের নেই আর কাংলাদেশীদের কথা না বলাই ভালো কারণ এরা হল পৃথিবীর মধ্যে দুর্বল এবং অসহায় আর ভারতীয়দের কাছে এরা হল শূয়োরের গূ যারা শুধু ফেসবুকে ঘেউ ঘেউ ছাড়া আর কিছুই করতে পারেনা ভয়ে বউয়ের শাড়ির ভিতরে গিয়ে লুকিয়ে পড়ে আর গরু চুরি করতে গিয়ে কূত্তার মত মারা পড়ে ,negative
 বাংলাদেশে গুম খুন হচ্ছে সেটা নিয়ে কোনো কথা নাই পার্শ্ববর্তী মায়ানমারে রোহিঙ্গাদের উপর গনহত্যা বর্বরতা হচ্ছে সেটা নিয়ে কথা নাই প্রথম আলো তুরস্ক নিয়া পইরা আছে আরে বলদ তুরস্ক শিক্ষিত ধনী দেশ ওরা ওদেরটা ভালোই বুঝে আমরা আমাদেরটা চিন্তা করি ,negative
 শিরোনাম দেখে মনে হলো লক্ষ লক্ষ মারা গেছে এবং অনেক ক্ষয়ক্ষতি হইছে আসলে কিছুই না ফালতু পোষ্ট ,negative
 সারাদেশে ভূমিকম্প হোকএমন ভাবে হোক যেন একটা খারাপ মানুষ বেঁচে না থাকে ,negative
সংঘর্ষের কোনো আশংকা নেই ,negative
তা আর কার্যকর হচ্ছে না,negative
নেতিবাচক প্রভাব পড়বে,negative
এই ঘোষণা এইচপি পরিচালনা পরিষদের পছন্দ হয়নি ,negative
ফাইলের কিছু অংশ ডাউনলোড করে বন্ধ করে দিলেন,negative
তিনি আত্মহত্যা করেছেন,negative
তাঁর মৃত্যুর কারণ জানা যায়নি ,negative
এ ব্যাপারে তাঁর প্রতিষ্ঠান থেকেও কিছু বলা হয়নি ,negative
রাখা যাবে না ইনশাআল্লাহ বিজয় আসবে ,positive
 আমার সাথে সব মিল আছে ,positive
